hero,bronze_pick_rate,bronze_win_rate,bronze_tie_rate,bronze_on_fire,silver_pick_rate,silver_win_rate,silver_tie_rate,silver_on_fire,gold_pick_rate,gold_win_rate,gold_tie_rate,gold_on_fire,platinum_pick_rate,platinum_win_rate,platinum_tie_rate,platinum_on_fire,diamond_pick_rate,diamond_win_rate,diamond_tie_rate,diamond_on_fire,master_pick_rate,master_win_rate,master_tie_rate,master_on_fire,grandmaster_pick_rate,grandmaster_win_rate,grandmaster_tie_rate,grandmaster_on_fire
Ana,0.075,0.4706,0.0203,0.0766,0.0948,0.4911,0.0203,0.0852,0.1171,0.5022,0.0205,0.0951,0.1296,0.5151,0.0204,0.1025,0.1263,0.5303,0.0197,0.1004,0.0984,0.5285,0.0193,0.0895,0.0419,0.5465,0.0182,0.0894
Ashe,0.0243,0.4718,0.0167,0.0612,0.0254,0.4947,0.018,0.0636,0.0256,0.5063,0.0181,0.0692,0.0252,0.522,0.0194,0.0754,0.0238,0.5289,0.0189,0.0758,0.0225,0.5192,0.0207,0.075,0.0286,0.5458,0.0192,0.0817
Baptiste,0.0322,0.4643,0.0234,0.0977,0.0352,0.4776,0.0223,0.1051,0.0354,0.4837,0.0229,0.1158,0.036,0.4981,0.0232,0.1276,0.037,0.5096,0.0217,0.1309,0.0496,0.5088,0.0207,0.1371,0.0565,0.5438,0.0201,0.1722
Bastion,0.0089,0.4879,0.0284,0.1585,0.0057,0.5204,0.0218,0.1545,0.0031,0.5322,0.0191,0.1424,0.002,0.558,0.0177,0.1313,0.0016,0.5373,0.0172,0.1001,0.0013,0.518,0.0154,0.0812,0.002,0.5185,0.022,0.0667
Brigitte,0.0115,0.5022,0.0167,0.0659,0.0101,0.4994,0.0144,0.0613,0.0086,0.4967,0.0138,0.0558,0.0086,0.4938,0.0128,0.0459,0.0123,0.4916,0.0132,0.0341,0.0217,0.4815,0.0156,0.027,0.0349,0.5305,0.0176,0.0242
D.V.A,0.0372,0.464,0.0206,0.0641,0.023,0.4884,0.0195,0.0674,0.0164,0.494,0.0166,0.0694,0.0123,0.5051,0.0162,0.067,0.0112,0.5236,0.014,0.0621,0.0109,0.517,0.0138,0.0492,0.0196,0.5276,0.0173,0.0491
Doomfist,0.0105,0.4843,0.0124,0.0726,0.0107,0.5118,0.0136,0.0717,0.012,0.5296,0.0141,0.0715,0.0126,0.5351,0.0144,0.0703,0.0128,0.5492,0.0164,0.0652,0.0118,0.5416,0.0169,0.056,0.0108,0.5577,0.0162,0.0523
Echo,0.0167,0.4704,0.0196,0.0683,0.014,0.4821,0.0183,0.0718,0.0139,0.4948,0.0184,0.0749,0.0137,0.5064,0.0195,0.0771,0.0151,0.5208,0.0174,0.0776,0.0178,0.5237,0.0182,0.0805,0.0214,0.5489,0.0197,0.0868
Genji,0.0206,0.4706,0.0176,0.0893,0.0219,0.4847,0.0169,0.0964,0.029,0.4975,0.017,0.108,0.0361,0.5097,0.0174,0.1188,0.034,0.5307,0.0173,0.1193,0.0208,0.5325,0.0174,0.1114,0.0079,0.5522,0.0201,0.1134
Hanzo,0.0269,0.473,0.0192,0.1007,0.0301,0.4859,0.0183,0.1024,0.0315,0.4924,0.0186,0.1107,0.0336,0.5054,0.0196,0.115,0.0349,0.5109,0.0197,0.1114,0.0294,0.5082,0.0191,0.0973,0.0249,0.5232,0.0154,0.0948
Junkrat,0.0524,0.4781,0.0211,0.1188,0.0446,0.4963,0.0237,0.1108,0.0284,0.5187,0.0246,0.1079,0.0157,0.5438,0.0235,0.1005,0.0086,0.5556,0.0221,0.0866,0.0059,0.5634,0.0182,0.0724,0.0071,0.5483,0.0191,0.0661
Lucio,0.0418,0.5016,0.0195,0.1037,0.0352,0.5195,0.0178,0.1095,0.0308,0.5248,0.0166,0.1094,0.0291,0.5291,0.016,0.1107,0.0289,0.5383,0.0166,0.1075,0.0352,0.5306,0.0186,0.1065,0.0434,0.5527,0.0203,0.1205
McCree,0.0471,0.4731,0.0167,0.0882,0.0562,0.4778,0.0158,0.0853,0.0646,0.4874,0.0164,0.0873,0.0709,0.4939,0.0169,0.0901,0.0765,0.5035,0.0172,0.0864,0.0711,0.5021,0.0165,0.075,0.061,0.5267,0.016,0.0721
Mei,0.01,0.4479,0.0169,0.0918,0.009,0.4846,0.0181,0.0831,0.0065,0.4936,0.0207,0.0787,0.0045,0.5023,0.0192,0.0697,0.0037,0.5191,0.0205,0.0667,0.0038,0.5132,0.0201,0.048,0.006,0.555,0.0176,0.0516
Mercy,0.0958,0.4817,0.0224,0.0169,0.0937,0.5002,0.0223,0.0199,0.091,0.5133,0.0216,0.0229,0.0782,0.5226,0.0213,0.0254,0.0673,0.5312,0.0194,0.024,0.0699,0.5177,0.0193,0.0189,0.0649,0.5357,0.019,0.0166
Moira,0.0643,0.4687,0.0212,0.0594,0.0599,0.4781,0.0212,0.0579,0.0451,0.4789,0.0212,0.0609,0.0259,0.4753,0.0196,0.0612,0.0123,0.4823,0.0166,0.0596,0.0056,0.474,0.0163,0.0628,0.0044,0.514,0.0216,0.0589
Orisa,0.0239,0.4619,0.0236,0.0545,0.0112,0.4709,0.0205,0.0608,0.006,0.4744,0.0167,0.0651,0.0037,0.4827,0.0145,0.0674,0.0034,0.4985,0.0148,0.0679,0.0053,0.4868,0.0188,0.0641,0.0082,0.5234,0.0232,0.07
Pharah,0.0175,0.4769,0.0171,0.1104,0.0185,0.5089,0.0168,0.1236,0.0156,0.5287,0.0171,0.1357,0.0118,0.5417,0.0171,0.1438,0.0097,0.5585,0.0175,0.1404,0.0095,0.5598,0.0147,0.1263,0.0056,0.5507,0.0193,0.148
Reaper,0.0261,0.4716,0.0161,0.1369,0.0227,0.4789,0.0167,0.1301,0.0161,0.493,0.0153,0.1265,0.0093,0.5023,0.0151,0.1226,0.0048,0.5098,0.0155,0.1096,0.0033,0.5207,0.0187,0.093,0.0024,0.5426,0.0144,0.095
Reinhardt,0.088,0.5027,0.0206,0.0921,0.1027,0.5172,0.0225,0.0915,0.11,0.5253,0.0225,0.0904,0.1164,0.5365,0.0232,0.0893,0.1032,0.5531,0.0216,0.0827,0.0778,0.556,0.0212,0.0725,0.062,0.5634,0.0183,0.071
Roadhog,0.0236,0.4339,0.0161,0.0619,0.0246,0.4569,0.0149,0.0682,0.0297,0.4646,0.0148,0.0745,0.0348,0.4727,0.014,0.0788,0.0415,0.4833,0.0141,0.0756,0.0465,0.4851,0.016,0.0632,0.0373,0.5182,0.017,0.0627
Sigma,0.0329,0.4794,0.0207,0.1055,0.0297,0.4863,0.0218,0.1131,0.0275,0.4896,0.0196,0.118,0.0289,0.496,0.0186,0.1205,0.0342,0.4997,0.0185,0.1126,0.0468,0.5031,0.0192,0.0976,0.0599,0.5406,0.0185,0.1009
Soldier:76,0.0375,0.4601,0.0193,0.0949,0.0381,0.4755,0.0188,0.0925,0.0335,0.4926,0.0185,0.0931,0.0284,0.5113,0.0186,0.094,0.024,0.5264,0.0171,0.0889,0.0174,0.5239,0.0188,0.0764,0.009,0.5512,0.0127,0.0762
Sombra,0.007,0.4109,0.0139,0.1067,0.0068,0.448,0.0164,0.1128,0.0062,0.4588,0.0148,0.1178,0.0057,0.4821,0.0151,0.1152,0.0042,0.4949,0.0174,0.1097,0.0032,0.5204,0.0145,0.1004,0.0027,0.5178,0.0094,0.0935
Symmetra,0.0143,0.5659,0.0278,0.09,0.0108,0.5892,0.0271,0.0927,0.0082,0.594,0.025,0.0914,0.0061,0.5934,0.024,0.0864,0.0043,0.5944,0.0185,0.0806,0.0046,0.562,0.0185,0.0594,0.0046,0.5478,0.016,0.0393
Torbjorn,0.018,0.5501,0.0266,0.0893,0.0141,0.5671,0.025,0.0798,0.0103,0.5714,0.0245,0.0737,0.0084,0.5694,0.0221,0.0642,0.008,0.547,0.0213,0.0539,0.0085,0.538,0.0233,0.0465,0.007,0.5314,0.0205,0.0402
Tracer,0.0129,0.4496,0.0119,0.0615,0.0134,0.4779,0.0146,0.0602,0.0153,0.4815,0.0128,0.0621,0.0206,0.4947,0.014,0.0612,0.0303,0.5087,0.0136,0.0581,0.0413,0.5091,0.0143,0.0542,0.0523,0.5406,0.0149,0.0561
Widowmaker,0.0081,0.4432,0.0142,0.0517,0.0078,0.4756,0.0114,0.0523,0.0097,0.4834,0.0122,0.0585,0.0132,0.4961,0.014,0.0652,0.0187,0.5097,0.0149,0.0635,0.0191,0.5043,0.0145,0.0569,0.019,0.5362,0.0127,0.0533
Winston,0.0159,0.444,0.016,0.0492,0.0144,0.4526,0.0162,0.0538,0.0151,0.4584,0.0138,0.0554,0.0164,0.4762,0.0151,0.057,0.0185,0.505,0.0149,0.0554,0.0204,0.5203,0.0162,0.0479,0.0182,0.5445,0.0201,0.0518
Wrecking Ball,0.0181,0.4656,0.0163,0.025,0.0183,0.4806,0.0174,0.026,0.023,0.4937,0.0155,0.0263,0.0309,0.5034,0.0153,0.0278,0.0445,0.5086,0.0146,0.0262,0.0639,0.5018,0.0173,0.0227,0.0998,0.5346,0.0182,0.0225
Zarya,0.0549,0.4934,0.0195,0.0841,0.0729,0.5121,0.0209,0.094,0.0862,0.5204,0.0211,0.1069,0.0957,0.5343,0.0219,0.1207,0.0962,0.5463,0.0199,0.1234,0.0852,0.5426,0.02,0.112,0.0829,0.5596,0.0178,0.1104
Zenyatta,0.0261,0.5128,0.0178,0.0831,0.0247,0.5223,0.018,0.0844,0.0288,0.5333,0.0167,0.079,0.036,0.5433,0.0173,0.0713,0.048,0.545,0.0164,0.0591,0.0716,0.526,0.0172,0.0464,0.0941,0.5487,0.0177,0.0492
